Old Link; New Destination; Status Code Origin; Status Code Destination; Redirect Points Too
https://www.thieme.com/books-main/product/5542-journal-of-laboratory-physicians; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00044881; 301; 200; 
https://www.thieme.com/books-main/neurology/product/4662-journal-of-neuroanaesthesiology-and-critical-care; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00037681; 301; 200; 
https://www.thieme.com/books-main/neurosurgery/product/2178-journal-of-neurological-surgery; https://www.thieme-connect.com/products; 301; 302; https://www.thieme-connect.com/products/all/home.html
https://www.thieme.com/books-main/neurosurgery/product/5703-journal-of-neurological-surgery-part-a; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000180; 301; 200; 
https://www.thieme.com/books-main/neurosurgery/product/5704-journal-of-neurological-surgery-part-b; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000181; 301; 200; 
https://www.thieme.com/books-main/neurosurgery/product/3932-journal-of-neurological-surgery-reports; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000182; 301; 200; 
https://www.thieme.com/books-main/product/2180-journal-of-pediatric-epilepsy; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00029025; 301; 200; 
https://www.thieme.com/books-main/journals/product/2181-journal-of-pediatric-genetics; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00029027; 301; 200; 
https://www.thieme.com/books-main/immunology/product/2182-journal-of-pediatric-infectious-diseases; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00029028; 301; 200; 
https://www.thieme.com/books-main/product/2183-journal-of-pediatric-intensive-care; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00029029; 301; 200; 
https://www.thieme.com/books-main/neurosurgery/pediatric-neurosurgery/product/2184-journal-of-pediatric-neurology; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00029030; 301; 200; 
https://www.thieme.com/books-main/plastic-surgery/product/2158-journal-of-reconstructive-microsurgery; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000029; 301; 200; 
https://www.thieme.com/books-main/plastic-surgery/product/2205-journal-of-reconstructive-microsurgery-open; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00029352; 301; 200; 
https://www.thieme.com/books-main/internal-medicine/product/5026-journal-of-social-health-and-diabetes; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00041241; 301; 200; 
https://www.thieme.com/books-main/audiology/product/5675-journal-of-the-american-academy-of-audiology; https://www.thieme-connect.de/products/ejournals/journal/10.1055/s-00046128; 301; 200; 
https://www.thieme.com/books-main/orthopaedic-surgery/product/2159-journal-of-wrist-surgery; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000183; 301; 200; 
https://www.thieme.com/books-main/sciences/product/6348-libyan-international-medical-university-journal; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00053243; 301; 200; 
https://www.thieme.com/books-main/clinical-informatics/product/4439-methods-of-information-in-medicine; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00035037; 301; 200; 
https://www.thieme.com/books-main/neurology/product/2186-neuropediatrics; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000041; 301; 200; 
https://www.thieme.com/books-main/chemistry/product/5201-organic-materials; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00040992; 301; 200; 
https://www.thieme.com/books-main/chemistry/product/5416-pharmaceutical-fronts; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00043364; 301; 200; 
https://www.thieme.com/books-main/chemistry/product/2187-pharmacopsychiatry; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000054; 301; 200; 
https://www.thieme.com/books-main/biochemistry/product/3494-planta-medica; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000058; 301; 200; 
https://www.thieme.com/books-main/obstetrics-and-gynecology/product/3564-rbgo-gynecology-obstetrics; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00030576; 301; 200; 
https://www.thieme.com/books-main/orthopaedic-surgery/product/5186-revista-brasileira-de-ortopedia-brazilian-journal-of-orthopaedics; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00042410; 301; 200; 
https://www.thieme.com/books-main/audiology/product/2188-seminars-in-hearing; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000067; 301; 200; 
https://www.thieme.com/books-main/radiology/product/2160-seminars-in-interventional-radiology; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000068; 301; 200; 
https://www.thieme.com/books-main/internal-medicine/product/2161-seminars-in-liver-disease; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000069; 301; 200; 
https://www.thieme.com/books-main/radiology/product/2162-seminars-in-musculoskeletal-radiology; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000070; 301; 200; 
https://www.thieme.com/books-main/neurology/product/2163-seminars-in-neurology; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000071; 301; 200; 
https://www.thieme.com/books-main/plastic-surgery/product/2164-seminars-in-plastic-surgery; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000051; 301; 200; 
https://www.thieme.com/books-main/obstetrics-and-gynecology/product/2165-seminars-in-reproductive-medicine; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000072; 301; 200; 
https://www.thieme.com/books-main/internal-medicine/product/2166-seminars-in-respiratory-and-critical-care-medicine; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000075; 301; 200; 
https://www.thieme.com/books-main/speech-language-pathology/product/2189-seminars-in-speech-and-language; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000076; 301; 200; 
https://www.thieme.com/books-main/internal-medicine/product/2167-seminars-in-thrombosis-and-hemostasis; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000077; 301; 200; 
https://www.thieme.com/books-main/oncology/product/5914-south-asian-journal-of-cancer; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00049561; 301; 200; 
https://www.thieme.com/books-main/sports-medicine-main/product/3596-sports-medicine-international-open; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00032056; 301; 200; 
https://www.thieme.com/books-main/chemistry/product/2168-synfacts; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000131; 301; 200; 
https://www.thieme.com/books-main/chemistry/product/2190-synlett; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000083; 301; 200; 
https://www.thieme.com/books-main/chemistry/product/3993-synopen; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00032269; 301; 200; 
https://www.thieme.com/books-main/chemistry/product/2191-synthesis; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000084; 301; 200; 
https://www.thieme.com/books-main/internal-medicine/product/4175-th-open; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00033990; 301; 200; 
https://www.thieme.com/books-main/radiology/product/6057-the-arab-journal-of-interventional-radiology; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00050442; 301; 200; 
https://www.thieme.com/books-main/surgery/product/2208-the-surgery-journal; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00028781; 301; 200; 
https://www.thieme.com/books-main/surgery/product/2192-the-thoracic-and-cardiovascular-surgeon; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000085; 301; 200; 
https://www.thieme.com/books-main/surgery/product/3933-the-thoracic-and-cardiovascular-surgeon-reports; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00024355; 301; 200; 
https://www.thieme.com/books-main/internal-medicine/product/4432-thrombosis-and-haemostasis; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00035024; 301; 200; 
https://www.thieme.com/books-main/radiology/product/2193-ultraschall-in-der-medizin-european-journal-of-ultrasound; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000089; 301; 200; 
https://www.thieme.com/books-main/radiology/product/2210-ultrasound-international-open; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00028422; 301; 200; 
https://www.thieme.com/books-main/veterinary-medicine/product/4880-veterinary-and-comparative-orthopaedics-and-traumatology-open; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00040903; 301; 200; 
https://www.thieme.com/books-main/veterinary-medicine/product/4728-veterinary-and-comparative-orthopaedics-and-traumatology; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00035023; 301; 200; 
https://www.thieme.com/books-main/radiology/product/6262; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00052852; 301; 200; 
https://www.thieme.com/books-main/clinical-informatics/product/4709-yearbook-of-medical-informatics; https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00034612; 301; 200; 
https://www.thieme.com/media/ita/ACI_Instructions_to_Authors.pdf; https://lp.thieme.de/open-access-files/174/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/ACIOpen_authors_instructions.pdf; https://lp.thieme.de/open-access-files/194/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/AJIR_Author_Instructions.pdf; https://lp.thieme.de/open-access-files/247/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/AJM_Author_Instructions.pdf; https://lp.thieme.de/open-access-files/248/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/AJNS_Author_Instructions.pdf; https://lp.thieme.de/open-access-files/269/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/ANAMS_Instructions_for_Authors.pdf; https://lp.thieme.de/open-access-files/217/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/anp_instructions_to_authors.pdf; https://lp.thieme.de/open-access-files/276/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/Aorta_authors_instructions.pdf; https://lp.thieme.de/open-access-files/196/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/APS_Author-Instructions.pdf; https://lp.thieme.de/open-access-files/268/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/Author_Instructions-IJPOL.pdf; https://lp.thieme.de/open-access-files/199/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/BNS_authors_instructions_eng.pdf; https://lp.thieme.de/open-access-files/219/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/CJOT_Instructions.pdf; https://lp.thieme.de/open-access-files/220/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/CMNP_IfA.pdf; https://lp.thieme.de/open-access-files/275/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/DDI-Author_Instructions.pdf; https://lp.thieme.de/open-access-files/143/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/EDRBJ_author_instructions.pdf; https://lp.thieme.de/open-access-files/249/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/ejd_authorinstructions.pdf; https://lp.thieme.de/open-access-files/222/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/ejd_ethicsstatement.pdf; https://www.thieme.com/en-us/journal-policies; 301; 200; 
https://www.thieme.com/media/ita/EJGD_authorinstructions.pdf; https://lp.thieme.de/open-access-files/250/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/EJPS-R_instructions_for_authors.pdf; https://lp.thieme.de/open-access-files/198/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/GMG_IfA.pdf; https://lp.thieme.de/open-access-files/223/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/HAMO_authors_instructions.pdf; https://lp.thieme.de/open-access-files/164/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/Homeopathy_authors_instructions_FINAL+.pdf; https://lp.thieme.de/open-access-files/175/author_instructions.pdf; 404; 200; 
https://www.thieme.com/media/ita/iao_instructions_to_authors.pdf; https://lp.thieme.de/open-access-files/230/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/IJMBS_Author_Instructions.pdf; https://lp.thieme.de/open-access-files/270/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/ijmpo_authorinstructions.pdf; https://lp.thieme.de/open-access-files/225/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/IJNS_authorinstructions.pdf; https://lp.thieme.de/open-access-files/226/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/IJNT_authorinstructions.pdf; https://lp.thieme.de/open-access-files/177/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/IJPS_author_instructions.pdf; https://lp.thieme.de/open-access-files/228/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/IJRI_Author_Instructions.pdf; https://lp.thieme.de/open-access-files/229/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/IJRSMS_authorinstructions.pdf; https://lp.thieme.de/open-access-files/233/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/Instructions_for_Authors_IJEP.pdf; https://lp.thieme.de/open-access-files/231/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JAA-ITA.pdf; https://lp.thieme.de/open-access-files/259/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JAO_AuthorInstructions.pdf; https://lp.thieme.de/open-access-files/200/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JBPPNI_AuthorsInstructions.pdf; https://lp.thieme.de/open-access-files/201/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JCIR_AuthorGuidelines.pdf; https://lp.thieme.de/open-access-files/235/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JCOL_IfA.pdf; https://lp.thieme.de/open-access-files/236/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JCS_Author_instructions.pdf; https://lp.thieme.de/open-access-files/202/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/jde_authorinstructions.pdf; https://lp.thieme.de/open-access-files/260/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JDEP_Author_Instructions.pdf; https://lp.thieme.de/open-access-files/273/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JGAR_Instructions_to_Authors.pdf; https://lp.thieme.de/open-access-files/237/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JHAM_ITA.PDF; https://lp.thieme.de/open-access-files/178/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JHIP-Author_Instructions.pdf; https://lp.thieme.de/open-access-files/144/author_instructions.pdf; 301; 200; 
https://www.thieme.com/media/ita/JHSNU_author_instructions.pdf; https://lp.thieme.de/open-access-files/238/author_instructions.pdf; 301; 200; 
